ID,Nama,Kalori,Karbohidrat,Protein,Lemak,Jenis,Rating,,,,
,Kerupuk mie kuning goreng,952,142.6,0.2,42.2,Umbi Berpati,3.34,,,,
,Kerupuk Udang,680,104,60,60,Ikan dan Makanan Laut,3.43,,,,
,Kerupuk Udang berpati,718,664,34.4,136.4,Ikan dan Makanan Laut,4.92,,,,
,Kerupuk udang goreng,954,137,9.4,41,Ikan dan Makanan Laut,4.54,,,,
ER048,Kesemek ,156,40,1.6,0.8,Buah,2.83,,,,
,Ketan hitam matang,362,74.6,8,2.4,Serealia,3.58,,,,
,Ketan putih matang,326,71.4,6,0.8,Serealia,4.63,,,,
,Ketela pohon/singkong kukus,306,72.8,2.4,0.6,Umbi Berpati,2.7,,,,
GP095,Keumamah tumis,600,31,29,40,Ikan dan Makanan Laut,3.68,,,,
MP009,Kopi bubuk instan,258,70,24.6,1,Konfeksioneri,2.17,,,,
,Kripik Tempe Goreng,1084,23,80.6,84.8,Kacang-kacangan,4.68,,,,
AP065,Kue ali,880,129,7.6,37,Serealia,4.67,,,,
,Kue Apem,373.4,79.2,3.2,3.2,Serealia,2.69,,,,
AP066,kue bangen,884,148.4,6.6,29.4,Serealia,2.63,,,,
,Kue bangket,676,160.6,3,2.4,Umbi Berpati,2.44,,,,
AP067,kue gelang,896,140,11.6,32.2,Serealia,4.6,,,,
AP068,kue jahe,850,169.2,3.2,17.6,Serealia,2.38,,,,
AP069,kue kelapa,1182,95,11.2,84.2,Serealia,2.13,,,,
AP070,kue koa,680,158.6,9.6,0.8,Serealia,3.59,,,,
AP071,Kue ku temu,428,99.2,7,0.4,Serealia,3.64,,,,
AP072,kue lumpur,582,88.2,7.2,22.2,Serealia,2.41,,,,
AP073,kue pelita,282,35.2,10.6,11,Serealia,2.7,,,,
AP074,Kue putu cangkir,608,109.8,10.6,14,Serealia,2.31,,,,
,Kue putu singkong,434,106.4,2.4,1,Umbi Berpati,4.35,,,,
AP075,kue sus,442,49.6,15,20.4,Serealia,3.02,,,,
AP041,kue tapai,646,100.2,9.8,23,Serealia,2.56,,,,
AP076,Kue Thipan,494,99,5.8,8.4,Serealia,3.97,,,,
CP046,Kwaci (biji bunga matahari kering),1030,27.6,61.2,84.2,Kacang-kacangan,2.09,,,,
ER049,Langsat ,172,26,3.2,0.4,Buah,3.72,,,,
,Lapis legit,778,111,13.2,31.4,Serealia,2.42,,,,
FP053,Lawar Babi ,348,6,34,20,Daging,2.14,,,,
FP054,Lawar Penyu nya,282,15.2,46,3,Daging,3.33,,,,
FP055,Lawara jangang ,318,20.2,10,21.8,Daging,2.14,,,,
GP073,Lawara penjah ,414,19.2,14.8,30.8,Ikan dan Makanan Laut,3.92,,,,
EP005,Ledre pisang,810,169.8,9.6,10.2,Buah,4.01,,,,
ER052,Lemon ,68,12.4,1,1.6,Buah,4.82,,,,
,Lemon Squash,72,20,0,0,Buah,2.75,,,,
,Lemonade,60,16,0,0,Buah,4.99,,,,
,Lemper,442.6,86.8,7.6,7.2,Serealia,4.22,,,,
EP006,Lempog durian,640,127.4,7,11.4,Buah,3.58,,,,
,Lupis ketan,328,69,3.6,4.2,Serealia,2.92,,,,
ER054,Mangga ,104,24.6,1.4,0,Buah,4.19,,,,
,Mangga benggala ,126,24.8,4.8,0.8,Buah,2.92,,,,
ER055,Mangga Brazil ,126,24.8,4.8,0.8,Buah,2.23,,,,
ER057,Mangga Cedar Bay ,126,33.4,1,0.4,Buah,3.77,,,,
,Mangga Gedong,88,22.4,1.4,0.4,Buah,3.48,,,,
ER056,Mangga gedung ,88,22.4,1.4,0.4,Buah,4.24,,,,
,Mangga Golek,126,33.4,1,0.4,Buah,4.47,,,,
ER058,Mangga Harumanis/arumanis,92,23.8,0.8,0.4,Buah,4.24,,,,
ER059,Mangga Indramayu ,144,37.4,1.6,0.4,Buah,2.42,,,,
ER060,Mangga kopek,112,29.2,0.8,0.4,Buah,3.86,,,,
ER061,Mangga Kweni ,172,39.6,1.4,1,Buah,3.22,,,,
ER062,Mangga manalagi ,266,64.2,2,0.2,Buah,2.84,,,,
ER063,Mangga mentah ,118,30.2,1,0.8,Buah,2.78,,,,
ER028,Mangga plum matang,136,36,1.4,0.2,Buah,2.3,,,,
ER025,Mangga saipan ,196,50.8,2.8,0.4,Buah,4.08,,,,
ER064,Manggis ,126,31.2,1.2,1.2,Buah,4.52,,,,
,Markisa ,288,59.6,7,2.4,Buah,2.38,,,,
,Markisa squash,434,99.2,5,2,Buah,2.91,,,,
,Markisa squash BD,208,47.4,2.4,1,Buah,3.59,,,,
AP081,Martabak India,306,48.6,9,8.4,Serealia,2.06,,,,
,Martabak manis,530.6,98.6,9.4,11,Serealia,4.47,,,,
AP082,Martabak Mesir,556,90,10.2,17.2,Serealia,2.59,,,,
,Martabak Telur,400,59,17.8,10.2,Serealia,2.79,,,,
CP048,Melinjo emping kental digoreng gurih,862,126,22.2,32.4,Kacang-kacangan,4.11,,,,
CP047,Melinjo emping kental digoreng manis,878,131.4,20,32.8,Kacang-kacangan,3.84,,,,
CP049,Melinjo emping tipis digoreng,970,118.2,23,49,Kacang-kacangan,3.08,,,,
ER067,Melon ,74,15.6,1.2,0.8,Buah,3.79,,,,
FP009,Merpati daging goreng,448,8.8,52.4,22.6,Daging,4.81,,,,
,Mi basah,176,28,1.2,6.6,Serealia,4.7,,,,
AP084,Mie aceh rebus,226,36.2,6,6.4,Serealia,3.22,,,,
AP085,Mie ayam,204,21,12.4,7.8,Serealia,2.34,,,,
AP086,Mie bakso,228,32.8,10.6,6,Serealia,4.53,,,,
AP021,Mie basah,176,28,1.2,6.6,Serealia,2.94,,,,
BP050,Mie bendo,706,176,0.6,0,Umbi Berpati,3.56,,,,
AP087,Mie celon,204,35.6,6,4.2,Serealia,3.56,,,,
AP022,Mie dikeringkan,678,12.6,20,3.4,Serealia,2.89,,,,
BP049,Mie golosor,142,31.8,0.4,1.6,Umbi Berpati,2.38,,,,
,Mie Goreng,936,124.8,15.2,40.8,Serealia,4.19,,,,
,Mie kering,674,100,15.8,23.6,Serealia,2.4,,,,
AP088,Mie pangsit basah,210,18.8,11.8,9.8,Serealia,3.45,,,,
BP051,Mie sagu,380,93,0.4,0.8,Umbi Berpati,3.72,,,,
,Nakji bokkeum,496,81.8,20,4.6,Ikan dan Makanan Laut,2.92,,,,
,Nanas,104,27.4,0.8,0.4,Buah,2.66,,,,
ER070,Nanas ,80,19.8,1.2,0.6,Buah,3.08,,,,
ER069,Nanas palembang ,116,26.6,1.4,0.4,Buah,3.89,,,,
ER071,Nangka matang ,212,55.2,2.4,0.6,Buah,2.73,,,,
,Nasi,360,79.6,6,0.6,Serealia,3.48,,,,
,Nasi beras merah,298,65,5.6,0.8,Serealia,2.05,,,,
AR012,Nasi dihaluskan mentah,708,159.8,15.6,0.8,Serealia,4.61,,,,
AP002,Nasi dikukus,240,52,4.8,0.8,Serealia,4.57,,,,
AP047,Nasi emping,806,170.6,21.2,4.4,Serealia,4.54,,,,
BP020,Nasi ganyong,728,172.6,6.8,1.4,Umbi Berpati,3.22,,,,
AP089,Nasi gemuk,384,48.8,7.6,17.6,Serealia,2.12,,,,
,Nasi Goreng,552,60.4,6.4,6.4,Serealia,4.37,,,,
AP090,Nasi gurih,380,52,9.4,15,Serealia,2.93,,,,
AP009,Nasi jagung,714,159,17.6,1,Serealia,2.16,,,,
AP092,Nasi rames,310,38.2,20.6,8.4,Serealia,4.65,,,,
BP021,Nasi siger,688,56.6,2.2,0.4,Umbi Berpati,4.21,,,,
AP003,Nasi tapai,198,44.8,3.4,0.6,Serealia,4.8,,,,
,Nasi tim,240,52,4.8,0.8,Serealia,3.66,,,,
,Nasi Uduk,506.6,23.4,8.6,42,Serealia,3.7,,,,
FP057,Nasu likku ,392,31.8,29,16.6,Daging,4.81,,,,
,Oncom Goreng,726.6,80.6,38.6,38.6,Kacang-kacangan,3.72,,,,
,Oncom Hitam Goreng,568,27.2,24,28.8,Kacang-kacangan,2.02,,,,
,Oncom Hitam Goreng bertepung,613.4,54,18,36,Kacang-kacangan,4.1,,,,
CP054,Oncom kacang tanah pepes,264,27.4,25.4,7.6,Kacang-kacangan,4.86,,,,
CP039,Oncom keripik,1196,85.2,16.6,87.6,Kacang-kacangan,2.07,,,,
,Oncom Merah Goreng,736,26.4,13.6,64,Kacang-kacangan,3.15,,,,
,Oncom Merah Goreng bertepung,640,62,14.6,37.4,Kacang-kacangan,2.14,,,,
,Oncom Merah Sayur (tumis),80,6,4,4,Kacang-kacangan,2.25,,,,
,Oncom pepes,152,21.2,10.4,3.6,Kacang-kacangan,3.03,,,,
AP094,Onde-onde,672,115.8,8,19.6,Serealia,4.5,,,,
,Ongol-ongol,230,28,3,12,Umbi Berpati,2.33,,,,
,Ongol-ongol sagu,222,42.4,0.6,5.4,Umbi Berpati,2.62,,,,
,Opak Singkong,1880,208,72,84,Umbi Berpati,4.7,,,,
FP058,Oramu ninahu ndawa olaho ,234,8.6,27.4,10,Daging,3.77,,,,
FP052,Otak Kalio ,314,22.8,16.2,17.6,Daging,2.46,,,,
GP070,Pangasius goreng,572,4.6,97,18.4,Ikan dan Makanan Laut,4.55,,,,
GP024,Pangasius panggang,288,8.6,35,12.6,Ikan dan Makanan Laut,4.82,,,,
FP059,Paniki dimasak dengan santan ,920,14.4,57,70.4,Daging,3.42,,,,
DP015,Pare putih dikukus,32,6.8,1.6,0.4,Sayuran,4.83,,,,
GP076,Parede baleh ,174,11,21,5,Ikan dan Makanan Laut,4.63,,,,
AP096,Pastel,614,84.8,9,26.6,Serealia,2.43,,,,
,Pelalah manuk,438,8.8,39.4,27.2,Daging,3.42,,,,
GP077,Pempek adaan (bakso ikan),324,55.6,9.8,6,Ikan dan Makanan Laut,4.23,,,,
,Pempek belida,312,63.2,8.4,2.8,Ikan dan Makanan Laut,2.57,,,,
GP078,Pempek bulu punggung,312,63.2,8.4,2.8,Ikan dan Makanan Laut,3.57,,,,
GP083,pempek ikan tenggiri spanyol,346,66.8,14.4,2.4,Ikan dan Makanan Laut,3.16,,,,
GP079,Pempek kapal selam,304,56.4,9,4.6,Ikan dan Makanan Laut,4.11,,,,
GP080,Pempek kelesan,422,53.2,24.6,12.2,Ikan dan Makanan Laut,2.83,,,,
GP081,Pempek kulit,486,78.2,10.4,14.6,Ikan dan Makanan Laut,2.92,,,,
GP082,pempek telur,312,56.6,9.4,5.4,Ikan dan Makanan Laut,4.23,,,,
,Pempek tenggiri,346,66.8,14.4,2.4,Ikan dan Makanan Laut,3.72,,,,
,Pencok lele,744,7,15.6,72.6,Ikan dan Makanan Laut,3.86,,,,
,Pepaya lodeh,550,60.4,23.2,23.2,Sayuran,4.81,,,,
GP021,pepes ikan nila,242,1.6,43.4,5.6,Ikan dan Makanan Laut,3.95,,,,
,Pinda,214,0.8,31.8,1.2,Ikan dan Makanan Laut,4.68,,,,
GP030,Pindang blackbanded trevally mentah,284,0,54,6,Ikan dan Makanan Laut,2.63,,,,
,Pindang Ikan Banjar,314,0,56,8.4,Ikan dan Makanan Laut,3.3,,,,
,Pindang Ikan Benggol,340,0,62,8.4,Ikan dan Makanan Laut,3.96,,,,
,Pindang Ikan Selar Kecil,284,0,54,6,Ikan dan Makanan Laut,2.25,,,,
GP086,Pindang kenari nya,248,0,19,19.2,Ikan dan Makanan Laut,4.71,,,,
GP029,Pindang layang India mentah,306,0,60,5.6,Ikan dan Makanan Laut,3.74,,,,
ER074,Pisang Ambon ,216,48.6,2,1.6,Buah,4.07,,,,
ER075,Pisang angleng (pisang ampyang) ,136,34.4,2.6,0.4,Buah,2.11,,,,
,Pisang ayam ,240,53.6,2.2,0.4,Buah,4.44,,,,
DR092,Pisang bunga ,64,14.2,2.4,0.6,Sayuran,4.18,,,,
ER077,Pisang gapi ,262,62.2,3.2,0.2,Buah,3.27,,,,
,Pisang Goreng,440,12.6,4.6,4.6,Buah,4.52,,,,
ER078,Pisang goroho ,238,55.8,3,0.4,Buah,4.09,,,,
ER079,Pisang Hijau ,242,57.8,2,0.2,Buah,4.65,,,,
,Pisang kayu ,200,47.2,2.8,1,Buah,4.76,,,,
,Pisang kepok ,218,52.6,1.6,1,Buah,4.71,,,,
EP011,Pisang kering,562,132.2,4.8,1.4,Buah,3.66,,,,
EP012,Pisang kering cilacap,590,133.8,4.6,4.2,Buah,3.41,,,,
ER082,Pisang ketip ,290,69,2.2,0.6,Buah,3.87,,,,
,Pisang kidang ,192,45,2,0.4,Buah,4.12,,,,
ER087,Pisang lady finger ,254,67.2,2.8,0.4,Buah,4.96,,,,
,Pisang Lampung,198,51.2,2.6,0.4,Buah,4.06,,,,
ER088,Pisang Latundan ,216,56.4,2.6,0.6,Buah,3.93,,,,
ER085,Pisang mas bali ampenan ,184,42,2.8,0.4,Buah,2.13,,,,
ER086,Pisang mas bali kopang ,254,63.6,2.8,0.4,Buah,4.13,,,,
ER083,Pisang merah ,192,45,2,0.4,Buah,4.98,,,,
,Pisang Raja,240,63.6,2.4,0.4,Buah,3.59,,,,
ER089,Pisang raja ,240,63.6,2.4,0.4,Buah,2.11,,,,
ER080,Pisang raja masak ,200,47.2,2.8,1,Buah,4.18,,,,
,Pisang Raja Sere (Susu),236,62.2,2.4,0.4,Buah,2.03,,,,
ER090,Pisang rotan ,196,41,2.6,2.4,Buah,4.65,,,,
ER081,Pisang Saba ,218,52.6,1.6,1,Buah,2.61,,,,
ER084,Pisang Senorita ,198,51.2,2.6,0.4,Buah,4.3,,,,
,Pisang Siam goreng,1250,16.2,2,0,Buah,3.59,,,,
ER091,Pisang talas ,226,53.4,2.4,0.4,Buah,4.18,,,,
ER092,Pisang tujuh bulan,188,45,1.2,0.4,Buah,2.62,,,,
ER094,Pisang uli ,268,71,2.2,1,Buah,2.7,,,,
ER017,Plum India ,226,53.6,1.6,0.6,Buah,2.22,,,,
ER024,Plum jawa ,160,36.4,1,1.2,Buah,2.74,,,,
,Punai daging goreng,448,8.8,52.4,22.6,Daging,3.41,,,,
,Putu Mayang,400,87.6,2,4.8,Serealia,3.59,,,,
BP047,Putu singkong kue,434,106.4,2.4,1,Umbi Berpati,2.43,,,,
,Rambutan,138,36.2,1.8,0.2,Buah,2.99,,,,
ER097,Rambutan ,138,36.2,1.8,0.2,Buah,3.38,,,,
,Rambutan Aceh,22,5.4,0,0,Buah,2.59,,,,
ER096,Rambutan binjai ,152,36,1,0.4,Buah,2.43,,,,
,Rambutan sinyonya,8,1.8,0,0,Buah,2.33,,,,
BP055,Rasbi (Nasi ubi jalar),788,153.2,4.4,17.6,Umbi Berpati,4.09,,,,
FP061,Rawon ,120,8,10.8,5,Daging,3.67,,,,
CP055,Rempeyek dengan kacang,1026,88.6,35,65,Kacang-kacangan,4.77,,,,
CP056,Rempeyek dengan kacang bermata hitam,902,119.4,22.4,40.4,Kacang-kacangan,3.11,,,,
CP057,Rempeyek dengan kacang nasi,994,101.6,34,55.2,Kacang-kacangan,2.72,,,,
,Rempeyek kacang tolo,902,119.4,22.4,40.4,Kacang-kacangan,3.85,,,,
FP062,Rendang Daging Sapi ,386,15.6,45.2,15.8,Daging,4.07,,,,
AP103,Roti boong,682,86.6,11,32.4,Serealia,2.59,,,,
AP024,Roti putih,496,100,16,2.4,Serealia,2.25,,,,
EP009,Rujak aceh,164,39.4,0.8,0.6,Buah,3.48,,,,
DP046,Rujak cingur,306,16,22.6,16.8,Sayuran,3.92,,,,
ER101,Salak (buah ular) ,154,41.8,0.8,0,Buah,4.08,,,,
ER098,Salak bali ,114,27.2,1,0.2,Buah,3.75,,,,
ER099,Salak medan ,110,25.6,0.8,0.4,Buah,4.15,,,,
ER100,Salak Pondoh ,174,40.2,1.6,0.8,Buah,3.07,,,,
,Sale pisang siam,562,132.2,4.8,1.4,Buah,2.3,,,,
,Sapi daging asap,364,0,64,12,Daging,2.21,,,,
,Sapi daging kornet,578,0,32,50,Daging,4.51,,,,
FP064,Sate penyu ,358,26.6,45,7,Daging,4.96,,,,
FP065,Sate pusut nya,548,27.2,25.8,37.2,Daging,2.46,,,,
,Sate Usus,253.4,2.6,28,14.6,Daging,3.71,,,,
,Sawi,44,8,4.6,0.6,Sayuran,2.24,,,,
DR144,Sawi ,38,5.8,2.6,0.4,Sayuran,3.08,,,,
DR129,Sawi hijau,66,9.4,4.6,1,Sayuran,4.39,,,,
,Sawi putih / pecai ,18,3.4,2,0.2,Sayuran,4.99,,,,
DR143,Sawi Taiwan ,60,8.8,3.8,1,Sayuran,3.48,,,,
,Sawi tanah ,38,5.8,2.6,0.4,Sayuran,4.16,,,,
,Sawo,184,44.8,1,2.2,Buah,4.61,,,,
ER104,Sawo ,184,44.8,1,2.2,Buah,4.5,,,,
,Sawo duren ,128,16,2,6.2,Buah,2.82,,,,
,Sawo kecik ,222,43.2,1.8,4.6,Buah,2.74,,,,
,Sayur asem,58,10,1.4,1.2,Sayuran,4.31,,,,
,Sayur bunga pepaya,98,19.6,3.4,0.6,Sayuran,3.61,,,,
,Sayur garu,356,21.2,5.2,27.8,Sayuran,3.33,,,,
,Sayur kohu-kohu,266,22.4,14.6,13.2,Sayuran,3.08,,,,
CP058,Sayur lebui,128,25,4.2,1.2,Kacang-kacangan,4.45,,,,
,Sayur lilin-terubuk,72,9.6,5.4,1.4,Sayuran,3.95,,,,
,Sayur ndusuk,98,7.2,6.2,5,Sayuran,4.33,,,,
,Sayur sop,54,2,2.6,4,Sayuran,2.69,,,,
,Sayur umbut kelapa,134,10.2,10.4,5.8,Sayuran,2.99,,,,
,Sayur umbut rotan,114,6.2,10.8,5.2,Sayuran,2.93,,,,
,Selada,30,5.8,2.4,0.4,Sayuran,3.19,,,,
DR145,Selada ,36,5.8,2.4,0.4,Sayuran,3.8,,,,
,Selada Air,34,6,3.4,0.6,Sayuran,2,,,,
DR146,Selada air ,34,4.4,6.2,0.4,Sayuran,2.7,,,,
,Selada Air rebus,38,5.8,5.4,0.4,Sayuran,3.27,,,,
DP016,Selada rebus,38,5.8,5.4,0.4,Sayuran,3.82,,,,
ER105,Semangka ,56,13.8,1,0.4,Buah,4.72,,,,
,Semur Jengkol,385,60.6,9,12,Sayuran,3.66,,,,
,Sie reuboh,948,23.4,22.4,85,Daging,2.91,,,,
BP008,Singkong dikukus,306,72.8,2.4,0.6,Umbi Berpati,4.15,,,,
,Singkong Goreng,570,56,2,36,Umbi Berpati,2.76,,,,
,Singkong kukus,292,69.4,2.4,0.6,Umbi Berpati,4.89,,,,
BP063,Singkong tapai,338,80.4,2.8,0.6,Umbi Berpati,3.07,,,,
,Singkong tape,346,85,1,0.2,Umbi Berpati,4.8,,,,
ER106,Sirsak ,130,32.6,2,0.6,Buah,3.38,,,,
MP014,Sirup,426,110,0,0,Konfeksioneri,2.38,,,,
MP015,Sirup pirous,456,111.8,0.4,0.8,Konfeksioneri,2.57,,,,
,Sop buntut ,142,4.4,15,7.2,Daging,3.16,,,,
,Sop daging sapi ,98,10.6,11.6,1,Daging,4.84,,,,
,Sop kaki sapi ,136,7.4,18,3.8,Daging,4.15,,,,
,Sop kambing ,68,2.2,11,1.6,Daging,2.18,,,,
,Sop konro ,142,9,14.8,5.2,Daging,3.73,,,,
,Sop Kool,24,4,1,0.2,Sayuran,2.8,,,,
,Sop Kool dan Wortel,30,6.2,1.2,0.2,Sayuran,3.51,,,,
DP054,Sop umbut kelapa,134,10.2,10.4,5.8,Sayuran,4.77,,,,
DP055,Sop umbut rotan,114,6.2,10.8,5.2,Sayuran,2.36,,,,
AR014,Sorgum mentah,732,146,22,6.6,Serealia,2.35,,,,
FP074,Soto bandung nya,84,5.6,7.8,3.4,Daging,2.73,,,,
FP075,Soto banjar ,220,6.4,5.8,19,Daging,2.3,,,,
FP076,Soto betawi nya,270,23,5,17.6,Daging,4.65,,,,
,Soto dengan Daging,255,16.6,5.2,18.8,Daging,4.32,,,,
FP077,Soto jeroan ,184,2.8,23.6,8.6,Daging,4.01,,,,
FP078,Soto kudus ,76,3.6,5.2,4.6,Daging,2.66,,,,
FP079,Soto madura nya,120,2.6,7,9,Daging,3.42,,,,
FP080,Soto padang ,254,22,11.8,13.2,Daging,3.19,,,,
FP081,Soto pekalongan ,188,10.2,6,13.6,Daging,2.95,,,,
FP082,Soto pemalang ,150,7,7.2,10.4,Daging,2.79,,,,
FP083,Soto sukaraja nya,160,18,6.4,7,Daging,4.25,,,,
FP084,Soto sulung nya,172,0,4.6,17,Daging,3.06,,,,
AP106,spageti,278,45.2,14.8,4.2,Serealia,2.48,,,,
ER108,Srikaya ,126,27.8,2.2,1,Buah,2.34,,,,
,Sukiyaki,150,24.4,11.2,0.8,Daging,4.86,,,,
DP047,Sup asam,58,10,1.4,1.2,Sayuran,4.12,,,,
DP048,Sup bunga pepaya,98,19.6,3.4,0.6,Sayuran,3.9,,,,
FP068,Sup buntut ,142,4.4,15,7.2,Daging,2.27,,,,
FP069,Sup daging sapi ,98,10.6,11.6,1,Daging,3.4,,,,
DP049,sup garu,356,21.2,5.2,27.8,Sayuran,3.53,,,,
,Sup ikan kuah asam,150,12,16.4,4,Ikan dan Makanan Laut,4.32,,,,
FP070,Sup kaki sapi ,136,7.4,18,3.8,Daging,3.27,,,,
FP071,Sup kambing ,68,2.2,11,1.6,Daging,3.95,,,,
DP050,Sup kohu-kohu,266,22.4,14.6,13.2,Sayuran,3.79,,,,
FP072,Sup Konro ,142,9,14.8,5.2,Daging,2.7,,,,
DP051,Sup Lilin Terubuk,72,9.6,5.4,1.4,Sayuran,4.69,,,,
DP052,Sup ndusuk,98,7.2,6.2,5,Sayuran,2.85,,,,
FP073,Sup saudara ,178,7.8,14.4,10,Daging,2.06,,,,
JP006,Susu bubuk,1026,72.4,49.2,60,Susu,4.95,,,,
JR003,Susu kambing ,128,13.2,8.6,4.6,Susu,4.38,,,,
CP060,Susu kedelai,82,10,7,5,Kacang-kacangan,3.09,,,,
CP059,Susu kedelai bubuk,688,86,60,40,Kacang-kacangan,3.21,,,,
JP007,Susu kental manis,686,110,16.4,20,Susu,2.05,,,,
JP008,Susu kental tanpa pemanis,276,19.8,14,15.8,Susu,4.14,,,,
JR004,Susu kerbau ,320,14.2,12.6,24,Susu,3.71,,,,
JR005,Susu kuda ,80,10.8,4,2.2,Susu,4.14,,,,
JR006,Susu sapi ,122,8.6,6.4,7,Susu,4.8,,,,
JP010,Susu skim ,72,10.2,7,0.2,Susu,4.56,,,,
JP009,Susu skim bubuk,718,104,71.2,2,Susu,3.89,,,,
CP062,Tahu digoreng,230,5,19.4,17,Kacang-kacangan,2.85,,,,
CP038,Tahu dikukus,180,9.4,21.4,8,Kacang-kacangan,2.4,,,,
BP010,Talas dikukus,240,56.4,3,0.6,Umbi Berpati,3.71,,,,
,Tapai ketan hitam,332,68.8,7.6,2,Serealia,4.22,,,,
,Tapai ketan putih,344,75,6,1,Serealia,3.07,,,,
,Tapai singkong,338,80.4,2.8,0.6,Umbi Berpati,2.21,,,,
FP086,Tedong pallu basa ,166,5.6,20.8,6.8,Daging,3.42,,,,
,Teh hijau daun kering,600,107.2,56.6,9.6,Konfeksiioneri,2.04,,,,
,Teh melati daun kering,598,118,48.2,7,Konfeksiioneri,4.79,,,,
,Telur Ayam,324,1.4,25.6,23,Telur,2.9,,,,
,Tempe Goreng,656,25.6,36.8,46.4,Kacang-kacangan,2.41,,,,
CP076,Tempe kedelai murni digoreng,700,20.8,49,53.2,Kacang-kacangan,2.41,,,,
CP040,Tempe keripik,1162,83.4,24.2,81.2,Kacang-kacangan,3.19,,,,
,Teri balado ,730,35,47.4,44.6,Ikan dan Makanan Laut,3.69,,,,
FP041,Teriyaki ayam ,336,15,26,19.2,Daging,2.47,,,,
FP037,Teriyaki daging sapi ,302,44.6,17.2,6.2,Daging,4.91,,,,
DP019,Terong panjang dikukus,46,9.8,3.6,0.2,Sayuran,4.31,,,,
,Tinorangsak,1032,0,35.4,99,Daging,3.07,,,,
BP073,Tiwul,706,166.8,4.8,2.2,Umbi Berpati,4.41,,,,
BP074,Tiwul instan,790,153,6.4,17,Umbi Berpati,4.04,,,,
DR160,Tomat jus ,40,7,2,0.4,Sayuran,2.44,,,,
DP059,Tumis bayam dengan santan,96,5.2,2.8,8.4,Sayuran,4.43,,,,
BP012,Ubi Cina dikukus,330,79.6,1.8,0.4,Umbi Berpati,3.98,,,,
,Ubi Jalar Goreng,320,110.6,7.4,2.6,Umbi Berpati,2.88,,,,
BP011,Ubi jalar kuning dikukus,200,47.6,1.4,0.6,Umbi Berpati,2.45,,,,
DP010,Ubi jalar merah dikukus,112,26,6.2,0.6,Sayuran,3.35,,,,
,Ubi Jalar Rebus,228,51.2,2.8,19.2,Umbi Berpati,4.01,,,,
,Ubi jalar tinta/ kemayung kukus,330,79.6,1.8,0.4,Umbi Berpati,3.02,,,,
BP045,Udang keripik goreng,954,137,9.4,41,Umbi Berpati,2.17,,,,
DP021,Wortel dikukus,74,16.6,2,1.2,Sayuran,3.32,,,,
DP020,Wortel rebus,56,12.6,1.4,1,Sayuran,2.56,,,,
FP038,Yakiniku daging sapi ,264,41.4,19.6,2.2,Daging,3.44,264,41.4,19.6,2.2
AP114,Yangko,508,116.2,6,2.2,Serealia,4.48,508,116.2,6,2.2
JP011,Yoghurt ,104,8,6.6,5,Susu,4.23,104,8,6.6,5
